,nikkei,aord,nyse,dax,ftse,hangseng,sp500,djia
2014-05-26,14602.52,5490.4,10644.5239,9720.91,6815.75,22963.18,1892.49,16543.08
2014-05-27,14636.52,5490.8,10644.5239,9892.82,6844.94,22944.3,1892.49,16543.08
2014-05-28,14670.95,5506.7,10720.62,9940.82,6851.22,23080.03,1911.91,16675.5
2014-05-29,14681.72,5499.2,10702.7315,9939.17,6871.29,23010.14,1909.78,16633.18
2014-05-30,14632.38,5473.8,10752.12,9938.9,6844.51,23081.65,1920.03,16698.74
2014-06-02,14935.92,5499.2,10752.12,9938.9,6864.1,23081.65,1920.03,16698.74
2014-06-03,15034.25,5460.5,10772.01,9950.12,6836.3,23291.04,1924.97,16743.63
2014-06-04,15067.96,5426.8,10770.3258,9919.74,6818.63,23151.71,1924.24,16722.34
2014-06-05,15079.37,5419.7,10776.78,9926.67,6813.49,23109.66,1927.88,16737.53
2014-06-06,15077.24,5443.5,10847.6877,9947.83,6858.21,22951.0,1940.46,16836.11
2014-06-09,15124.0,5443.5,10847.6877,9947.83,6875.0,23117.47,1940.46,16836.11
2014-06-10,14994.8,5448.5,10918.62,10008.63,6873.55,23315.74,1951.27,16943.1
2014-06-11,15069.48,5432.5,10914.1985,10028.8,6838.87,23257.29,1950.79,16945.92
2014-06-12,14973.53,5407.9,10872.6903,9949.81,6843.11,23175.02,1943.89,16843.88
2014-06-13,15097.84,5383.7,10825.0288,9938.7,6777.85,23319.17,1930.11,16734.19
2014-06-16,14933.29,5390.6,10825.0288,9938.7,6754.64,23300.67,1930.11,16734.19
2014-06-17,14975.97,5380.7,10863.22,9883.98,6766.77,23203.59,1937.78,16781.01
2014-06-18,15115.8,5363.9,10886.0147,9920.32,6778.56,23181.72,1941.99,16808.49
2014-06-19,15361.16,5446.4,10975.538,9930.33,6808.11,23167.73,1956.98,16906.62
2014-06-20,15349.42,5401.6,11003.0853,10004.0,6825.2,23194.06,1959.48,16921.46
2014-06-23,15369.28,5432.7,11003.0853,10004.0,6800.56,22804.81,1959.48,16921.46
